#       k [h/Mpc]           P_cdm          P_vcdm         P_total
         857.696     4.11867e-09     4.11867e-09     4.11867e-09
         912.011     3.46349e-09     3.46349e-09     3.46349e-09
         969.765     2.91227e-09     2.91227e-09     2.91227e-09
         1031.18     2.44856e-09     2.44856e-09     2.44856e-09
         1096.48     2.05851e-09     2.05851e-09     2.05851e-09
         1165.91     1.73045e-09     1.73045e-09     1.73045e-09
         1239.75     1.45455e-09     1.45455e-09     1.45455e-09
         1318.26     1.22253e-09     1.22253e-09     1.22253e-09
         1401.74     1.02744e-09     1.02744e-09     1.02744e-09
          1490.5     8.63417e-10     8.63417e-10     8.63417e-10
         1584.89     7.25518e-10     7.25518e-10     7.25518e-10
         1685.26     6.09595e-10     6.09595e-10     6.09595e-10
         1791.98     5.12155e-10     5.12155e-10     5.12155e-10
         1905.46     4.30257e-10     4.30257e-10     4.30257e-10
         2026.13     3.61427e-10     3.61427e-10     3.61427e-10
         2154.43     3.03586e-10     3.03586e-10     3.03586e-10
         2290.87     2.54983e-10     2.54983e-10     2.54983e-10
         2435.94     2.14145e-10     2.14145e-10     2.14145e-10
          2590.2     1.79835e-10     1.79835e-10     1.79835e-10
         2754.23     1.51011e-10     1.51011e-10     1.51011e-10
         2928.64     1.26798e-10     1.26798e-10     1.26798e-10
         3114.11      1.0646e-10      1.0646e-10      1.0646e-10
         3311.31     8.93776e-11     8.93776e-11     8.93776e-11
         3521.01     7.50313e-11     7.50313e-11     7.50313e-11
         3743.98     6.29836e-11     6.29836e-11     6.29836e-11
         3981.07     5.28669e-11     5.28669e-11     5.28669e-11
         4233.18     4.43722e-11     4.43722e-11     4.43722e-11
         4501.25       3.724e-11       3.724e-11       3.724e-11
          4786.3     3.12522e-11     3.12522e-11     3.12522e-11
          5089.4     2.62256e-11     2.62256e-11     2.62256e-11
          5411.7      2.2006e-11      2.2006e-11      2.2006e-11
          5754.4     1.84642e-11     1.84642e-11     1.84642e-11
         6118.81     1.54915e-11     1.54915e-11     1.54915e-11
         6506.29     1.29966e-11     1.29966e-11     1.29966e-11
         6918.31     1.09028e-11     1.09028e-11     1.09028e-11
         7356.42     9.14583e-12     9.14583e-12     9.14583e-12
         7822.28     7.67153e-12     7.67153e-12     7.67153e-12
         8317.64      6.4345e-12      6.4345e-12      6.4345e-12
         8844.37     5.39664e-12     5.39664e-12     5.39664e-12
         9404.45     4.52592e-12     4.52592e-12     4.52592e-12
